name,id,geom
14 PAL B,16,0106000020E6100000010000000103000000010000001000000090A89C160B740B404E264CD3402C47409139A1E30A740B40E3105DD0402C4740BC822C470A740B40215A69C7402C474095B6E0E2AC740B406F3BC0B13B2C4740D79407ECC5760B40AA0C2C682A2C47405308914090720B402C70E413E02B4740A8792F0FAF700B409DE9E30BE72B4740A399D98FAC700B407C02E114E72B4740E5192B6A95700B40A066946EE72B4740327E74A8E76D0B40D90D5B7FF12B47403B3E10057A6E0B40D2958C9AF42B4740DF562662B56E0B40DB40ECB2F52B47404AA4DC909C700B40D86914E9042C47403279444F84720B40F22FE597272C4740CDD7BDA506740B409669FEF6402C474090A89C160B740B404E264CD3402C4740
16 PAL,17,0106000020E6100000010000000103000000010000001B000000A4F553E8737C0B40BFDCFA90B72B4740EB77FC60747C0B40E143EA92B72B4740FCC0789C747C0B400D081C94B72B474000FC1EEBB17C0B40C8DEF54DB82B474050AD5F15E57C0B40677ABFEEB82B4740E586DE3AE97C0B40AD902B00B92B4740E743B8AB087E0B4052B4BDEAA82B4740BDBA08234B7E0B40E9F2BEE2A42B47403F9147E788810B40919C5E90722B47406FB23A458B810B404CAD4BA1722B4740AF671DC0C7810B4062B0DD0B6F2B47401CC777118B810B40C70EAD396D2B4740509CD726D6800B40A06E85D5742B4740BF3B623BD57F0B40A3B795046D2B47403A0BAFC78E7F0B40A822E3596C2B474058AD52D0627F0B408489E319692B4740678D46E8517F0B40A02D6E7D672B4740EBA4C6A9C87E0B40F11F0D8C602B4740E5C4180C927E0B40BF4D8994602B4740D13AF1466D7E0B4028F05BB2622B474003A2EFA3FC7D0B409E35529B772B47401375F2979A7E0B404D5B31067B2B47403C0E33E15A7E0B40B072E1318F2B4740DE7387B15C7E0B40391325CD942B4740FB942DA6237E0B405DBAED399E2B4740B3FE29CCE47D0B40E2047D7BA22B4740A4F553E8737C0B40BFDCFA90B72B4740
1 PAL,18,0106000020E6100000010000000103000000010000001B000000A14F53816E6D0B406BB361283D2B4740E22F78566E6E0B40195126CD3C2B47404AEF577D5A6F0B402BE9C57B3C2B47404338ADA9636F0B40079393783C2B47402140460AD96F0B40ADFD1C503C2B4740A541D30756700B4076FF3E953C2B474076A303F1D9700B40A6E82FDE3C2B4740BF59F05EA2710B4050A6C4823C2B47406F39854CAB710B400D1A1D803C2B4740E2D7328452730B40367190033C2B4740AE1309CC3D750B40FC6F32023B2B4740CA07C74065760B40F567051F3A2B4740FAE2F4BE4D770B40179B0FFB392B4740F7170F4159770B4061CA08EF362B4740A543EEB179740B40B6375F6D242B47401D339EA15B6D0B403BF7D421F62A4740B7E83413476D0B405A15032AFA2A4740E39AB98A446D0B40FF0651ACFA2A4740F6A68D4D266D0B4032A010BE002B47407F486E6C586C0B40AFB04A122A2B4740BB3EA2C3396C0B40741ABE39302B47408F6313191B6C0B4080E57E61362B4740BA4E746EFC6B0B4064472C893C2B4740A99B1664EE6B0B409165A4523F2B4740BD0660C2ED6B0B40DDFF15733F2B474033C3DB07ED6B0B40A1107D9E3F2B4740A14F53816E6D0B406BB361283D2B4740
1 PIQ,19,0106000020E6100000010000000103000000010000000A0000005995AEACCC930B408443E4878C2B474051270D26E6950B40BF608AF9AA2B47409E86F23575960B4008D84E87B02B4740E2C53E53EE960B40F186B664B32B47409B60BAF994970B40A0C3C5AA952B4740EA2F204C87970B40FC05043B8D2B4740FB412DAE28970B404B13FFEC7B2B47403EA19B75C8960B409EA2B47C6A2B47402676B07F74950B4046B3D0A8792B47405995AEACCC930B408443E4878C2B4740
20 PAL,20,0106000020E610000001000000010300000001000000100000008E0C6372637C0B40B725E6A9222B4740F3F6B90F587C0B404A4D6F20232B47403E86ED92347C0B40CEE4BE40222B47404F7075A00A780B403BD2B81C0F2B4740459448290D780B40A20A4FC7372B4740BA53D99E76780B405FA9849E382B474070F02018A7790B40BCBBB513392B4740B14DBDED3A7A0B40CDED792B3A2B474063C2E2622C7B0B401B8A6409402B47403296E801AE7B0B4052FD76BA422B47409FB77748267C0B409C73920F432B474034FE9797AB7C0B4097977D3E402B4740E0295FF6D37D0B40792FFE44312B47407C957DDA737C0B4057D43B29242B474011B472C57C7C0B4071BC24C0232B47408E0C6372637C0B40B725E6A9222B4740
21 PAL,21,0106000020E6100000010000000103000000010000001300000011B472C57C7C0B4071BC24C0232B474025B22A03837C0B40B0B89076232B4740F855A7273E7D0B401864EA532A2B474069C60616E37D0B4065FF6282302B4740EAEF67D0A47E0B403579D7C5262B47403FF1B2CCFC7E0B4077C83DBF232B4740D1B3E984C57F0B40A8870CE7212B4740C5EDD1751F7F0B40013FD51C1B2B47403B2322B8017F0B40B6E5EB071A2B47405D14B281DF7E0B407A916FC9182B4740DEC711EB737B0B4008A50020F92A4740661514E95E7A0B407866D662002B4740AA1923E7FF790B40C65D91D0052B4740CF791FB9FC790B4088CAE9BB052B4740CE9775A43C790B40D9B4FC1F132B4740276D861D437C0B4086476D18212B4740E92A0435687C0B40940F4878222B47408E0C6372637C0B40B725E6A9222B474011B472C57C7C0B4071BC24C0232B4740
22 PAL,22,0106000020E61000000100000001030000000100000012000000EF46CB66DA6F0B40BDCE0223032B47400A38E9D166710B40E000861C0D2B47407B16CEE03D730B40ABDEBBF6182B4740A40FDCA988740B40E397619F212B4740E3A4BCF39D760B40995CD4942F2B4740190C135EDD770B40BBF9FCC5362B47409FE59B4D08780B40162168BD372B4740459448290D780B40A20A4FC7372B47404F7075A00A780B403BD2B81C0F2B4740BDEE3524F0770B4006FE3EA50E2B47405AF09CBA1D770B40556B84050C2B4740AB72B328C4760B40B4054502102B4740294B737988760B4004D52A3A112B474068D27BEFFB750B4070A822B6092B4740C1BA0D0C27730B4060BC52C9F82A47404A1D805F14700B40144789FAE72A47403B0D74700C700B40F8917B63E92A4740EF46CB66DA6F0B40BDCE0223032B4740
22 PAL Bi,23,0106000020E61000000100000001030000000100000011000000B1D95BF537770B400B4CB7D80A2B4740B78F930D38770B40CF640CD70A2B474010B67A36BD760B40BE70D3B0012B4740CE374EC383730B40534B0AAAEE2A4740BD12E06A38710B4078AC8B77D92A4740683A2B9ADF700B408C325106D62A474072F4ADF8C0700B40409F28D6D62A4740CDEF44FC9B700B405A40FA46D82A4740A1E644F96E700B407282DD7ADB2A4740DC4FF2D74B700B40C3492E4CE02A47407D77A13612700B40B341BBEEE72A47404A1D805F14700B40144789FAE72A4740C1BA0D0C27730B4060BC52C9F82A474068D27BEFFB750B4070A822B6092B4740294B737988760B4004D52A3A112B4740AB72B328C4760B40B4054502102B4740B1D95BF537770B400B4CB7D80A2B4740
2_3_4 PAL,24,0106000020E610000001000000010300000001000000230000006F987B87B3710B403355568C932B4740FD5193C30D720B40CA531BEC922B4740DC5453DE0F720B40348D5AE8922B4740E938C1F49A720B40E8C251F1912B474028218FBC72740B40221BEEA98E2B474096463B12B7760B402A438EA48A2B47409464A40502770B4039566F1F8A2B47401496BF2D02770B40C4E2321F8A2B4740E0E21FD502770B4057A5061E8A2B47401F50FAEC06770B40EF8AC0168A2B4740897BC23408770B40ECD27B148A2B4740536CA7A507770B4044C225AB852B474052D1C98105770B40D42BC7136F2B4740B968A35205770B40E3BE0C4D6D2B47408576B98805770B40BB2493EC6C2B4740EDA07FF50A770B40FF37C4BF622B47407A6A2F7D4D770B40013CE7B6562B4740D223BAD065770B4011FFE400512B474033EF622081770B40A33806894A2B474040E29130AA770B40A1DD2BD1402B474021F0FD5CB7770B407EB427AE3D2B4740F3393AD7B2770B40DFB75A023D2B4740CC82900DAC770B40FBB3440D3C2B4740729B12DD10770B4010F50A3F3C2B47408DB80F70F7750B402F556A9D3C2B474046CE9D0256750B401159FBCC3C2B47406DF8F9BDD2740B4017E702F73C2B474028A292D582720B40997744193E2B47403BEAC3682A720B402303D7483E2B47409F33994393700B409AE095263F2B47400B5A37BF98700B40B5D1B4E7402B47409D6FCCF6A0700B40769F8E88432B4740CD272599F5700B40935388CC5E2B4740AF3D6683A3710B40E54393228F2B47406F987B87B3710B403355568C932B4740
23 PAL,25,0106000020E610000001000000010300000001000000180000009CF7AD37026A0B40618EF5D1DC2A4740C0EE8AD1066A0B40A6B076EEDC2A4740AABAB22E396B0B4047B8C45AE42A4740389EEB8CB56E0B40B07091C4FB2A4740EF46CB66DA6F0B40BDCE0223032B47403B0D74700C700B40F8917B63E92A47404A1D805F14700B40144789FAE72A47407D77A13612700B40B341BBEEE72A4740DC4FF2D74B700B40C3492E4CE02A4740A1E644F96E700B407282DD7ADB2A4740CDEF44FC9B700B405A40FA46D82A474072F4ADF8C0700B40409F28D6D62A4740683A2B9ADF700B408C325106D62A474034C47443266E0B40AAFA95FFBA2A4740B8A291DD276C0B4027BDCD34A72A4740377F4BFEA86B0B4027DD160FAD2A47402116A48F826B0B4041553CDFAE2A47409B6834E5476C0B4016427761B82A4740DB0FDA6B8C6C0B404BB5E664BA2A47403E13EB71CB6D0B409E8E87C4C32A4740D93E409F456E0B40171FF25FD12A474043BD35AD096D0B400896F921CF2A4740BBDE7A3BD56A0B40EBB8E8BFC22A47409CF7AD37026A0B40618EF5D1DC2A4740
24 PAL,26,0106000020E6100000010000000103000000010000000F0000009F93FF186E640B40CE602946C02A4740DDA683BBE4640B40F8E6335FC02A4740919BB5AB62650B4023089D60C12A4740F1FD752A25660B40C052AE6FC42A474045F36CB557670B409B8C8772CB2A4740037979ABE6680B4069A92EF3D52A47409CF7AD37026A0B40618EF5D1DC2A4740BBDE7A3BD56A0B40EBB8E8BFC22A4740D020C1ADD46A0B409808C5BCC22A4740CD44360AD46A0B4065C1A2A4C22A47403B247712986A0B402350DBC9B92A4740326C1E7D35680B40AE7C344EAC2A47407CA07BD526660B404997F30DA52A474005545D22CE640B40DAB23242B42A47409F93FF186E640B40CE602946C02A4740
2 PIQ,27,0106000020E6100000010000000103000000010000000F0000009430E62C2B980B406E3B2072FD2B4740E46E2FD33F980B406220814F032C474080063E6B6C980B40981EFA6A082C4740EE028F628C990B4061DB3D761B2C474051FF832CA69A0B403B4E4CB62E2C47402759C1C7C39A0B4094B7FC412D2C474063CB4423EE9B0B40E842DD991E2C47403A378C80279D0B404ADB972C0F2C47403D83F6AF799D0B4034D74E230B2C47409BBA6889EA9D0B4053C4F704042C4740AF4A5775C9990B40D3593FCDE32B4740B8EC33578B990B40E264A391E72B4740B1E9D00E85990B4098AA40F3E72B4740B711131381990B4063AD2431E82B47409430E62C2B980B406E3B2072FD2B4740
3 PIQ,28,0106000020E6100000010000000103000000010000001F0000001DA5257F43A00B4071782FA4F92B474025A5C285D6A00B4098105E74062C474083017D2044A10B40CB060607112C4740B1FC622344A10B4093AFB50F112C4740543D060972A10B4034B1FAFD122C4740ED19D4F7F5A10B401B877297182C4740FCB0F90224A20B40F741728B1A2C47400150380E62A30B4020469A38272C474072C2602BA6A30B4011D90D2A2A2C4740AB53B9C1FEA30B407B5F48FC2D2C4740B4798B229EA40B407F9BF006372C47407BFADA292FA50B4048368C3E3F2C4740D891F815B0A50B4089124C2D092C47406FFA548645A60B40783D135AED2B474021AB7747D7A30B406F584841E42B47401D02298401A20B4043B4144FE62B4740E03B3B6695A10B402B51F8ECE62B474017A679AEF4A00B401CB1A0D7E72B47408012DAE9B6A00B408914B390E82B474036615CD19EA00B40028742F1E82B4740DB3E328192A00B4052499D22E92B4740D4ABE1AF4BA00B40A5BA753EEA2B4740280D2A424AA00B402B533744EA2B47400E0092EE49A00B4060628545EA2B47403D53F402E49F0B4077A317DEEB2B474076287FFFE29F0B40E60C63E2EB2B4740205D0D3F779F0B40D82F9048EE2B474048B80603B19F0B401557BCD7F02B4740E9E29B10E09F0B4017F06BEAF22B4740C776CCE503A00B408F760D5AF52B47401DA5257F43A00B4071782FA4F92B4740
